# T[GeV]  muB[GeV]  eps[fm-4]  nB[fm-3]  muQ[GeV]  muS[GeV]  P[fm-4]  residual
0.020000 1.050000 0.100000 0.435294 -0.050000 -0.050000 0.031287 0.612482
0.020000 1.050000 0.200000 0.435294 -0.050000 -0.050000 0.031287 0.521741
0.020000 1.050000 0.300000 0.435294 -0.050000 -0.050000 0.031287 0.435079
0.020000 1.050000 0.400000 0.435294 -0.041347 0.163450 0.032556 0.428144
0.079455 0.899534 0.500000 0.435294 -0.022066 0.217348 0.038047 0.000000
0.111847 0.770441 0.600000 0.435294 -0.019346 0.203115 0.059569 0.000000
0.134173 0.678462 0.700000 0.435294 -0.017301 0.172981 0.094730 0.000000
0.150381 0.619998 0.800000 0.435294 -0.013341 0.163075 0.135605 0.000000
0.159244 0.579601 0.900000 0.435294 -0.012575 0.161722 0.160235 0.000000
0.165786 0.549538 1.000000 0.435294 -0.013764 0.161832 0.182159 0.000000
0.000000 1.050000 0.000000 0.476471 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.476471 -0.050000 -0.050000 0.031287 0.598958
0.030488 1.050000 0.200000 0.476471 -0.027085 0.285628 0.047892 0.842023
0.020000 1.050000 0.300000 0.476471 -0.050000 -0.050000 0.031287 0.415825
0.020000 1.050000 0.400000 0.476471 -0.050000 0.400000 0.030806 0.351656
0.051325 0.979839 0.500000 0.476471 -0.024835 0.162046 0.029217 0.000000
0.098073 0.842174 0.600000 0.476471 -0.020834 0.219363 0.053782 0.000000
0.123028 0.742034 0.700000 0.476471 -0.019181 0.194503 0.082855 0.000000
0.144117 0.678338 0.800000 0.476471 -0.015520 0.174598 0.134552 0.000000
0.154822 0.630841 0.900000 0.476471 -0.012793 0.171055 0.161414 0.000000
0.162387 0.595221 1.000000 0.476471 -0.012958 0.171003 0.184003 0.000000
0.000000 1.050000 0.000000 0.517647 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.517647 -0.050000 -0.050000 0.031287 0.588012
0.094814 0.885527 0.200000 0.517647 -0.026044 0.229785 0.066691 0.518689
0.222250 0.388368 0.300000 0.517647 -0.019666 0.139229 0.715683 3.087135
0.149750 0.653096 0.400000 0.517647 -0.004197 0.156136 0.149780 0.456339
0.020000 1.050000 0.500000 0.517647 -0.029987 0.157284 0.035610 0.369605
0.081709 0.909615 0.600000 0.517647 -0.022402 0.228083 0.047419 0.000000
0.111316 0.804449 0.700000 0.517647 -0.020466 0.215586 0.073959 0.000000
0.136404 0.736562 0.800000 0.517647 -0.018249 0.189260 0.130867 0.000000
0.149594 0.684142 0.900000 0.517647 -0.014330 0.180636 0.162295 0.000000
0.158358 0.642987 1.000000 0.517647 -0.012683 0.179302 0.185723 0.000000
0.000000 1.050000 0.000000 0.558824 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.558824 -0.050000 -0.050000 0.031287 0.579790
0.194016 0.539199 0.200000 0.558824 -0.028323 0.179953 0.399420 1.787391
0.141847 0.989493 0.300000 0.558824 -0.026036 0.291314 0.358021 1.540738
0.020000 1.050000 0.400000 0.558824 -0.050000 -0.050000 0.031287 0.295629
0.020000 1.050000 0.500000 0.558824 -0.048913 -0.050000 0.031480 0.213447
0.059249 0.976491 0.600000 0.558824 -0.024886 0.175649 0.039232 0.000000
0.098366 0.865258 0.700000 0.558824 -0.021649 0.228972 0.066404 0.000000
0.126654 0.792747 0.800000 0.558824 -0.020538 0.208822 0.122234 0.000000
0.143526 0.737308 0.900000 0.558824 -0.016834 0.192152 0.162125 0.000000
0.153693 0.692435 1.000000 0.558824 -0.013643 0.187451 0.187343 0.000000
0.000000 1.050000 0.000000 0.600000 -0.050000 -0.050000 0.000000 1.000000
0.212147 0.400247 0.100000 0.600000 -0.006836 0.133533 0.560803 2.650491
0.020000 1.050000 0.200000 0.600000 -0.050000 -0.050000 0.031287 0.476473
0.020000 1.050000 0.300000 0.600000 -0.050000 -0.050000 0.031287 0.379613
0.137232 0.782154 0.400000 0.600000 -0.009394 0.205096 0.161876 0.506078
0.020000 1.050000 0.500000 0.600000 -0.050000 -0.050000 0.031287 0.195617
0.020000 1.034003 0.600000 0.600000 -0.023818 0.154786 0.026152 0.041843
0.083611 0.922149 0.700000 0.600000 -0.022836 0.236004 0.058858 0.000000
0.114145 0.846176 0.800000 0.600000 -0.021996 0.228104 0.106798 0.000000
0.136469 0.788322 0.900000 0.600000 -0.019286 0.207406 0.159753 0.000000
0.148461 0.741517 1.000000 0.600000 -0.015750 0.196881 0.188442 0.000000
